name1	name2	size1	size2	acc1	acc2	ratiodiff	pearson	spearman	spearman2on1	loss	kl
iter5_size80_ratio0	iter5_size80_ratio5	80	80	0.925	0.89375	0.05	0.836922834328	0.836922834328	0.876834056018	0.140625	14.0577486699
iter5_size80_ratio0	iter5_size80_ratio10	80	80	0.925	0.825	0.1	0.796234318595	0.796234318595	0.894122817298	0.146875	18.2005019966
iter5_size80_ratio0	iter5_size80_ratio15	80	80	0.925	0.86875	0.15	0.788895153056	0.788895153056	0.854945505684	0.134375	20.5349776649
iter5_size80_ratio0	iter5_size80_ratio20	80	80	0.925	0.8	0.2	0.695453217916	0.695453217916	0.819644322044	0.196875	29.6311071382
iter5_size80_ratio0	iter5_size80_ratio25	80	80	0.925	0.83125	0.25	0.790631959812	0.790631959812	0.863160670339	0.153125	22.3675498736
iter5_size80_ratio0	iter5_size80_ratio30	80	80	0.925	0.8	0.3	0.787099120278	0.787099120278	0.874830071487	0.16875	23.2384027429
iter5_size80_ratio0	iter5_size80_ratio35	80	80	0.925	0.8	0.35	0.792856502613	0.792856502613	0.858092112973	0.175	22.4651357551
iter5_size80_ratio0	iter5_size80_ratio40	80	80	0.925	0.7	0.4	0.719562160243	0.719562160243	0.748989218329	0.184375	46.6353895451
iter5_size80_ratio0	iter5_size80_ratio45	80	80	0.925	0.7375	0.45	0.781645246911	0.781645246911	0.790401968827	0.125	50.3570488514
iter5_size80_ratio0	iter5_size80_ratio50	80	80	0.925	0.69375	0.5	0.615227179112	0.615227179112	0.746094574007	0.275	39.7701595646
iter5_size80_ratio0	iter5_size80_ratio55	80	80	0.925	0.675	0.55	0.633574267845	0.633574267845	0.790167584671	0.2375	47.6992536966
iter5_size80_ratio0	iter5_size80_ratio60	80	80	0.925	0.7125	0.6	0.657744565188	0.657744565188	0.791934255244	0.271875	36.6483775878
iter5_size80_ratio0	iter5_size80_ratio65	80	80	0.925	0.64375	0.65	0.540564173931	0.540564173931	0.692115902965	0.296875	44.5545252993
iter5_size80_ratio0	iter5_size80_ratio70	80	80	0.925	0.65625	0.7	0.588666768652	0.588666768652	0.767458689793	0.290625	43.4180998572
iter5_size80_ratio0	iter5_size80_ratio75	80	80	0.925	0.625	0.75	0.455841829571	0.455841829571	0.524085901793	0.309375	61.8190570658
iter5_size80_ratio0	iter5_size80_ratio80	80	80	0.925	0.575	0.8	0.523475438889	0.523475438889	0.727502050861	0.35625	56.2161467446
iter5_size80_ratio0	iter5_size80_ratio85	80	80	0.925	0.5875	0.85	0.225271998726	0.225271998726	0.283191726239	0.425	69.1275183055
iter5_size80_ratio0	iter5_size80_ratio90	80	80	0.925	0.5125	0.9	0.110325747966	0.110325747966	0.109469119887	0.453125	104.419978767
iter5_size80_ratio0	iter5_size80_ratio95	80	80	0.925	0.59375	0.95	0.305857946248	0.305857946248	0.523332942693	0.378125	68.8173016354
iter5_size80_ratio0	iter5_size80_ratio100	80	80	0.925	0.625	1.0	0.0681670449399	0.0681670449399	0.201883862651	0.4625	81.9481460037
iter5_size80_ratio0	iter6_size80_ratio0	80	80	0.925	0.88125	0.0	0.837494812023	0.837494812023	0.88627973749	0.13125	13.3595704422
iter5_size80_ratio0	iter6_size80_ratio5	80	80	0.925	0.875	0.05	0.870363382975	0.870363382975	0.881662369624	0.1125	13.8137586849
iter5_size80_ratio0	iter6_size80_ratio10	80	80	0.925	0.825	0.1	0.852441261569	0.852441261569	0.911373491152	0.134375	13.8735689617
iter5_size80_ratio0	iter6_size80_ratio15	80	80	0.925	0.81875	0.15	0.732160820691	0.732160820691	0.797307512012	0.178125	28.7365603429
iter5_size80_ratio0	iter6_size80_ratio20	80	80	0.925	0.8125	0.2	0.792137259776	0.792137259776	0.880338099144	0.15	17.8343344899
iter5_size80_ratio0	iter6_size80_ratio25	80	80	0.925	0.83125	0.25	0.781760862236	0.781760862236	0.86117426462	0.175	20.8263007359
iter5_size80_ratio0	iter6_size80_ratio30	80	80	0.925	0.7625	0.3	0.663097041151	0.663097041151	0.712542482128	0.184375	37.2090333656
iter5_size80_ratio0	iter6_size80_ratio35	80	80	0.925	0.73125	0.35	0.637798183656	0.637798183656	0.708593109106	0.234375	38.7866628235
iter5_size80_ratio0	iter6_size80_ratio40	80	80	0.925	0.725	0.4	0.658886558008	0.658886558008	0.833030587132	0.24375	40.483749298
iter5_size80_ratio0	iter6_size80_ratio45	80	80	0.925	0.73125	0.45	0.732522389479	0.732522389479	0.796466658854	0.203125	35.1456167194
iter5_size80_ratio0	iter6_size80_ratio50	80	80	0.925	0.64375	0.5	0.709955015954	0.709955015954	0.758765967421	0.20625	39.3604797154
iter5_size80_ratio0	iter6_size80_ratio55	80	80	0.925	0.73125	0.55	0.614644923234	0.614644923234	0.755868393297	0.259375	39.9588676305
iter5_size80_ratio0	iter6_size80_ratio60	80	80	0.925	0.6625	0.6	0.560209373666	0.560209373666	0.631495370913	0.296875	43.4098283024
iter5_size80_ratio0	iter6_size80_ratio65	80	80	0.925	0.58125	0.65	0.450436680285	0.450436680285	0.629174967772	0.325	57.8576012272
iter5_size80_ratio0	iter6_size80_ratio70	80	80	0.925	0.65625	0.7	0.509978477445	0.509978477445	0.662404781437	0.3125	58.066500693
iter5_size80_ratio0	iter6_size80_ratio75	80	80	0.925	0.66875	0.75	0.431323648767	0.431323648767	0.660245517403	0.35	53.085534799
iter5_size80_ratio0	iter6_size80_ratio80	80	80	0.925	0.5625	0.8	0.109166617172	0.109166617172	0.218062228993	0.3125	61.3917750499
iter5_size80_ratio0	iter6_size80_ratio85	80	80	0.925	0.58125	0.85	0.307066824081	0.307066824081	0.393079807805	0.403125	72.9253369973
iter5_size80_ratio0	iter6_size80_ratio90	80	80	0.925	0.5625	0.9	0.215597819068	0.215597819068	0.328747216688	0.428125	77.564439534
iter5_size80_ratio0	iter6_size80_ratio95	80	80	0.925	0.6	0.95	0.366515716561	0.366515716561	0.558912457518	0.396875	66.3597625495
iter5_size80_ratio0	iter6_size80_ratio100	80	80	0.925	0.525	1.0	-0.0683700667963	-0.0683700667963	-0.201125043947	0.51875	141.968174174
iter6_size80_ratio0	iter5_size80_ratio0	80	80	0.88125	0.925	0.0	0.837494812023	0.837494812023	0.888822805578	0.13125	13.3595704422
iter6_size80_ratio0	iter5_size80_ratio5	80	80	0.88125	0.89375	0.05	0.868789046962	0.868789046962	0.895584788468	0.115625	9.3932789016
iter6_size80_ratio0	iter5_size80_ratio10	80	80	0.88125	0.825	0.1	0.789730609225	0.789730609225	0.884685925231	0.171875	17.6179061357
iter6_size80_ratio0	iter5_size80_ratio15	80	80	0.88125	0.86875	0.15	0.811660082003	0.811660082003	0.905244345482	0.14375	15.6251856311
iter6_size80_ratio0	iter5_size80_ratio20	80	80	0.88125	0.8	0.2	0.680138992779	0.680138992779	0.825656275636	0.1875	29.816725162
iter6_size80_ratio0	iter5_size80_ratio25	80	80	0.88125	0.83125	0.25	0.834434489607	0.834434489607	0.899000937537	0.1375	15.6713780308
iter6_size80_ratio0	iter5_size80_ratio30	80	80	0.88125	0.8	0.3	0.77773123855	0.77773123855	0.868428454236	0.2125	18.7124861083
iter6_size80_ratio0	iter5_size80_ratio35	80	80	0.88125	0.8	0.35	0.740232009495	0.740232009495	0.830405484589	0.209375	19.8273853314
iter6_size80_ratio0	iter5_size80_ratio40	80	80	0.88125	0.7	0.4	0.81521597226	0.81521597226	0.883681003164	0.171875	38.8552714259
iter6_size80_ratio0	iter5_size80_ratio45	80	80	0.88125	0.7375	0.45	0.689643875496	0.689643875496	0.61748505801	0.178125	40.8882375503
iter6_size80_ratio0	iter5_size80_ratio50	80	80	0.88125	0.69375	0.5	0.711087418717	0.711087418717	0.812732919255	0.24375	29.8867333216
iter6_size80_ratio0	iter5_size80_ratio55	80	80	0.88125	0.675	0.55	0.558696634967	0.558696634967	0.693782960272	0.265625	49.2868714382
iter6_size80_ratio0	iter5_size80_ratio60	80	80	0.88125	0.7125	0.6	0.659931671319	0.659931671319	0.805007031525	0.271875	34.3295965802
iter6_size80_ratio0	iter5_size80_ratio65	80	80	0.88125	0.64375	0.65	0.562477746714	0.562477746714	0.696311379351	0.296875	41.7085007392
iter6_size80_ratio0	iter5_size80_ratio70	80	80	0.88125	0.65625	0.7	0.649741684915	0.649741684915	0.806152584085	0.271875	36.7081419986
iter6_size80_ratio0	iter5_size80_ratio75	80	80	0.88125	0.625	0.75	0.364848577511	0.364848577511	0.46296730341	0.303125	51.2203040508
iter6_size80_ratio0	iter5_size80_ratio80	80	80	0.88125	0.575	0.8	0.565299768091	0.565299768091	0.736833470057	0.353125	47.4715164127
iter6_size80_ratio0	iter5_size80_ratio85	80	80	0.88125	0.5875	0.85	0.33943607886	0.33943607886	0.518985116606	0.371875	57.0221241718
iter6_size80_ratio0	iter5_size80_ratio90	80	80	0.88125	0.5125	0.9	0.130492688777	0.130492688777	0.153606586195	0.446875	87.7475365769
iter6_size80_ratio0	iter5_size80_ratio95	80	80	0.88125	0.59375	0.95	0.233267113658	0.233267113658	0.462079573421	0.44375	58.8434949586
iter6_size80_ratio0	iter5_size80_ratio100	80	80	0.88125	0.625	1.0	0.14665109201	0.14665109201	0.226447322161	0.4625	68.0812192734
iter6_size80_ratio0	iter6_size80_ratio5	80	80	0.88125	0.875	0.05	0.879252739814	0.879252739814	0.896434431032	0.115625	9.81152029258
iter6_size80_ratio0	iter6_size80_ratio10	80	80	0.88125	0.825	0.1	0.869791875106	0.869791875106	0.907640923474	0.11875	11.4522013295
iter6_size80_ratio0	iter6_size80_ratio15	80	80	0.88125	0.81875	0.15	0.763509673881	0.763509673881	0.859551154342	0.159375	19.8580340489
iter6_size80_ratio0	iter6_size80_ratio20	80	80	0.88125	0.8125	0.2	0.774264825429	0.774264825429	0.818577874136	0.175	15.8329532176
iter6_size80_ratio0	iter6_size80_ratio25	80	80	0.88125	0.83125	0.25	0.798856989343	0.798856989343	0.868109105824	0.18125	15.3904440546
iter6_size80_ratio0	iter6_size80_ratio30	80	80	0.88125	0.7625	0.3	0.687904350392	0.687904350392	0.764596273292	0.19375	28.3054285546
iter6_size80_ratio0	iter6_size80_ratio35	80	80	0.88125	0.73125	0.35	0.75517057642	0.75517057642	0.85367397164	0.2125	26.8441820874
iter6_size80_ratio0	iter6_size80_ratio40	80	80	0.88125	0.725	0.4	0.604075202951	0.604075202951	0.73489394117	0.2625	38.5440728591
iter6_size80_ratio0	iter6_size80_ratio45	80	80	0.88125	0.73125	0.45	0.729185681258	0.729185681258	0.780197468651	0.24375	28.1593655827
iter6_size80_ratio0	iter6_size80_ratio50	80	80	0.88125	0.64375	0.5	0.622783682744	0.622783682744	0.611584436892	0.290625	34.3299175585
iter6_size80_ratio0	iter6_size80_ratio55	80	80	0.88125	0.73125	0.55	0.688561750765	0.688561750765	0.843481190672	0.234375	31.8757909089
iter6_size80_ratio0	iter6_size80_ratio60	80	80	0.88125	0.6625	0.6	0.658491592287	0.658491592287	0.734978905426	0.265625	31.7122651846
iter6_size80_ratio0	iter6_size80_ratio65	80	80	0.88125	0.58125	0.65	0.487642089054	0.487642089054	0.668492909879	0.321875	48.3760174468
iter6_size80_ratio0	iter6_size80_ratio70	80	80	0.88125	0.65625	0.7	0.498703763543	0.498703763543	0.662683112622	0.328125	50.0777927775
iter6_size80_ratio0	iter6_size80_ratio75	80	80	0.88125	0.66875	0.75	0.336003351136	0.336003351136	0.444374780265	0.390625	49.6726910432
iter6_size80_ratio0	iter6_size80_ratio80	80	80	0.88125	0.5625	0.8	0.286733165911	0.286733165911	0.314361889136	0.26875	53.6422108931
iter6_size80_ratio0	iter6_size80_ratio85	80	80	0.88125	0.58125	0.85	0.373809375078	0.373809375078	0.470288878472	0.375	64.7085494216
iter6_size80_ratio0	iter6_size80_ratio90	80	80	0.88125	0.5625	0.9	0.199146312628	0.199146312628	0.276746161959	0.425	66.5995798604
iter6_size80_ratio0	iter6_size80_ratio95	80	80	0.88125	0.6	0.95	0.200686590408	0.200686590408	0.305680885972	0.421875	58.202323111
iter6_size80_ratio0	iter6_size80_ratio100	80	80	0.88125	0.525	1.0	-0.0329556692158	-0.0329556692158	-0.0558976913161	0.5125	123.201426058
iter5_size80_ratio0	iter6_size80_ratio0	80	80	0.925	0.88125	0.0	0.837494812023	0.837494812023	0.88627973749	0.13125	13.3595704422
iter6_size80_ratio0	iter5_size80_ratio0	80	80	0.88125	0.925	0.0	0.837494812023	0.837494812023	0.888822805578	0.13125	13.3595704422
iter7_size80_ratio0	iter5_size80_ratio0	80	80	0.90625	0.925	0.0	0.858789362146	0.858789362146	0.912820813313	0.128125	13.747864951
iter7_size80_ratio0	iter6_size80_ratio0	80	80	0.90625	0.88125	0.0	0.8776630774	0.8776630774	0.934908590179	0.096875	10.0536996942
